"","id1","name1","address1","id2","name2","address2"
"2892",125,"bills","359 crown st, surry hills, nsw  02010   0",2789,"bills","359 crown st, surry hills, nsw  2010"
"7736",402,"pinbone","3 jersey rd, woollahra,",1044,"pinbone","3 jersey rd, woollahra, nsw  2025"
"14937",929,"the australian hotel","100 cumberland st, the rocks, nsw  2000",1819,"australian heritage hotel","100 cumberland st, the rocks, nsw  2000"
"18649",1288,"cape comorin south indian","271 military rd, sydney,",4488,"cape cormorin","7/271 military rd, cremorne, nsw  2090"
"20633",1502,"rays pizza cafã© caio belli","193 condamine st, balgowlah,",4086,"ciao belli","condomine st, balgowlah,"
"20726",1519,"gelato messina","279 church st, parramatta, nsw  2150",4979,"gelato messina","283 church st, parramatta, nsw  2150"
"21385",1587,"cafe cafe cz","8 greenknowe ave, sydney, nsw  2011",4716,"cafe cafe","8 greenknowe ave, elizabeth bay, nsw  2011"
"21403",1591,"chalios thai","19 wongala cres, beecroft, nsw  2119",3755,"chalios thai","19 wongala cres, sydney, nsw  2119"
"21994",1663,"taste on sussex lane","275 kent st, sydney, nsw  2000",5105,"taste baguette","275 kent st, sydney, nsw  2000"
"30086",2813,"hotel mosman","634 military rd, sydney,",3171,"mosman hotel","634 military rd, mosman, mosman,"
"30234",2840,"portico restaurant & bar","greengate rd and pacific hwy, killara, nsw  02071   0",3414,"portico restaurant","cnr pacific hwy & greengate rd, killara, nsw  2071"
"33048",3433,"ue chinese restaurant","4a/117 john st, cabramatta, nsw  2166",4238,"u e restaurant","117 john st, cabramatta, nsw  2166"
"34537",3799,"lazy bones","294 marrickville rd, marrickville, nsw  2204",4342,"lazybones lounge","level 2 294 marrickville rd, marrickville, nsw  2204"
"35801",4169,"one mb","178 victoria st, potts point, nsw  2011",4581,"onemb","178 victoria st, potts point, nsw  2011"
"36192",4400,"shehnai","479 pacific hwy, crows nest, nsw  02065   0",5089,"shahnai indian restaurant","479 pacific hwy, crows nest, nsw  2065"
"36284",4436,"toona cafe & restaurant","39 lindfield ave, lindfield, nsw  2070",5135,"toona cafe & restaurant","39 lindfield ave, lindfield, nsw  2070"
"36739",4801,"laroche","67 haldon st, sydney, nsw  2195",5016,"la roche lebanese restaurant","shop 5 61-67 haldon st, lakemba, nsw  2195"
